"File %1 not found in %2","Fichier %1 introuvable dans %2"
"%1 line(s) found","%1 ligne(s) trouvée(s)"
"Cache cleaned for: %1","Cache nettoyé pour: %1"
"Drop temporary table","Suppression de la table temporaire"
"Clean cache","Nettoyage du cache"
"Create temporary table","Création de la table temporaire"
"Fill temporary table","Import des données dans la table temporaire"
"Match code with Magento ID","Correspondance du code et de l'identifiant Magento"
"Attributes","Attributs"
"Additional types","Types additionnels"
"Match specific Pim type with Magento input field","Correpondance des types spécifiques du Pim avec les champs Magento"
"Pim","Pim"
"Magento","Magento"
"Add","Ajouter"
"Unknown","Inconnu"
"Match types","Correspondance des types"
"Match family","Correspondance des familles"
"Add or update attributes","Ajout ou mise à jour des attributs"
