"File %1 not found in %2","Fichier %1 introuvable dans %2"
"%1 line(s) found","%1 ligne(s) trouvée(s)"
"Cache cleaned for: %1","Cache nettoyé pour: %1"
"Drop temporary table","Suppression de la table temporaire"
"Clean cache","Nettoyage du cache"
"Create temporary table","Création de la table temporaire"
"Fill temporary table","Import des données dans la table temporaire"
"Match code with Magento ID","Correspondance du code et de l'identifiant Magento"
"Categories","Catégories"
"Create URL key","Création de la clé d'URL"
"Create structure","Mise en place de la structure"
"Create position","Mise en place des positions"
"Create and update category entities","Ajout et mise à jour des entités"
"Set values to attributes","Association des valeurs aux attributs"
"Count of child categories","Comptage des catégories enfants"
"Set Url Rewrite","Mise à jour des réécritures d'URL"
