"File %1 not found in %2","Fichier %1 introuvable dans %2"
"%1 line(s) found","%1 ligne(s) trouvée(s)"
"Cache cleaned for: %1","Cache nettoyé pour: %1"
"Drop temporary table","Suppression de la table temporaire"
"Clean cache","Nettoyage du cache"
"Create temporary table","Création de la table temporaire"
"Fill temporary table","Import des données dans la table temporaire"
"Match code with Magento ID","Correspondance du code et de l'identifiant Magento"
"Products","Produits"
"Attribute Mapping","Correspondance des attributs"
"Fill additional Magento attributes from Pim attributes","Correspondance des attributs Magento avec les attributs du Pim"
"Configurable","Configurable"
"Fill configurable with Pim attributes above, comma separated","Compléter les attributs des configurables avec les attributs du Pim, séparés par des virgules"
"Pim","Pim"
"Magento","Magento"
"Add","Ajouter"
"Module Pimgento_Variant is not enabled","Le module Pimgento_Variant n'est pas activé"
"Column groups not found","Colonne groups introuvable"
"Column family is missing","La colonne family est introuvable"
"Column categories not found","La colonne categories est introuvable"
"Add product required data","Ajout des données requises"
"Create configurable product","Création des produits configurables"
"Match family code with Magento id","Correspondance du code famille et de l'identifiant Magento"
"Update column values for options","Mise à jour des valeurs des options"
"Create or update product entities","Ajout ou mise à jour des entités produit"
"Set values to attributes","Association des valeurs aux attributs"
"Link configurable with children","Liaison des configurables avec les produits enfants"
"Set products to websites","Association des produits aux sites web"
"Set products to categories","Association des produits aux catégories"
"Init stock","Initialisation du stock"
"Set Url Rewrite","Mise à jour des réécritures d'URL"
